codigoMesa;idUbigeo;dep;gap_t_c_s;jpp_votos;rla_votos;total_valid;jpp_pct;ganador
054938;140136;14;1874.0;6;11;242;2.479;PARTIDO DEL BUEN GOBIERNO
017453;70906;07;1873.0;54;20;150;36.0;JUNTOS POR EL PERÚ
067317;150704;15;1873.0;33;1;74;44.595;JUNTOS POR EL PERÚ
073698;190701;19;1873.0;5;12;161;3.106;VOTOS EN BLANCO
020422;90301;09;1872.0;46;26;134;34.328;JUNTOS POR EL PERÚ
077898;210401;21;1872.0;33;21;154;21.429;VOTOS EN BLANCO
088060;950106;95;1872.0;0;1;118;0.0;RENOVACIÓN POPULAR
017884;71101;07;1867.0;87;23;178;48.876;JUNTOS POR EL PERÚ
079065;210801;21;1867.0;33;22;170;19.412;VOTOS EN BLANCO
001389;20108;02;1866.0;43;14;166;25.904;JUNTOS POR EL PERÚ
055559;140136;14;1866.0;5;24;225;2.222;FUERZA POPULAR
010920;50704;05;1865.0;27;23;88;30.682;JUNTOS POR EL PERÚ
018083;71205;07;1865.0;85;44;178;47.753;JUNTOS POR EL PERÚ
004076;22001;02;1862.0;7;4;37;18.919;FUERZA POPULAR
018089;71205;07;1861.0;100;30;177;56.497;JUNTOS POR EL PERÚ
076914;201101;20;1861.0;64;50;213;30.047;JUNTOS POR EL PERÚ
006130;40103;04;1859.0;31;34;222;13.964;PARTIDO CÍVICO OBRAS
068080;170107;17;1859.0;28;25;228;12.281;AHORA NACIÓN - AN
026528;110704;11;1858.0;42;22;178;23.596;JUNTOS POR EL PERÚ
069003;180304;18;1857.0;21;6;88;23.864;VOTOS EN BLANCO
000103;10109;01;1856.0;90;21;145;62.069;JUNTOS POR EL PERÚ
030770;120401;12;1856.0;41;14;150;27.333;VOTOS EN BLANCO
078163;210505;21;1856.0;43;36;170;25.294;JUNTOS POR EL PERÚ
028024;120101;12;1855.0;2;10;189;1.058;PARTIDO DEL BUEN GOBIERNO
002370;21102;02;1851.0;74;0;144;51.389;JUNTOS POR EL PERÚ
017878;71101;07;1848.0;89;25;192;46.354;JUNTOS POR EL PERÚ
051365;140130;14;1848.0;2;11;153;1.307;RENOVACIÓN POPULAR
074013;190802;19;1848.0;24;18;213;11.268;FUERZA POPULAR
079102;210801;21;1848.0;28;17;144;19.444;VOTOS EN BLANCO
072107;190403;19;1847.0;42;10;130;32.308;JUNTOS POR EL PERÚ
063716;140615;14;1846.0;23;43;246;9.35;PARTIDO CÍVICO OBRAS
073139;190602;19;1846.0;4;12;197;2.03;FUERZA POPULAR
000623;10508;01;1845.0;16;11;144;11.111;FUERZA POPULAR
020269;90201;09;1845.0;27;17;134;20.149;VOTOS EN BLANCO
030352;120204;12;1845.0;17;17;95;17.895;VOTOS EN BLANCO
012651;60502;06;1844.0;61;3;95;64.211;JUNTOS POR EL PERÚ
022219;100104;10;1844.0;18;20;204;8.824;FUERZA POPULAR
012805;60513;06;1843.0;68;18;151;45.033;JUNTOS POR EL PERÚ
009008;40407;04;1840.0;36;25;145;24.828;VOTOS EN BLANCO
051719;140131;14;1840.0;0;8;203;0.0;RENOVACIÓN POPULAR
076836;201001;20;1840.0;41;71;182;22.527;PARTIDO CÍVICO OBRAS
085460;250302;25;1840.0;20;3;67;29.851;VOTOS EN BLANCO
000769;10603;01;1839.0;56;5;74;75.676;JUNTOS POR EL PERÚ
075695;200701;20;1839.0;57;26;232;24.569;JUNTOS POR EL PERÚ
002084;20810;02;1838.0;32;6;72;44.444;JUNTOS POR EL PERÚ
003018;21301;02;1838.0;12;11;190;6.316;VOTOS EN BLANCO
010706;50415;05;1838.0;63;25;143;44.056;JUNTOS POR EL PERÚ
067313;150704;15;1838.0;37;3;111;33.333;FUERZA POPULAR
085494;250304;25;1836.0;11;5;79;13.924;VOTOS EN BLANCO
006131;40103;04;1835.0;29;28;214;13.551;PARTIDO DEL BUEN GOBIERNO
075345;200501;20;1835.0;76;24;165;46.061;JUNTOS POR EL PERÚ
088051;950105;95;1834.0;2;10;140;1.429;RENOVACIÓN POPULAR
000615;10506;01;1833.0;12;20;142;8.451;VOTOS EN BLANCO
017887;71101;07;1833.0;83;27;162;51.235;JUNTOS POR EL PERÚ
051437;140130;14;1833.0;3;6;179;1.676;RENOVACIÓN POPULAR
075913;200804;20;1833.0;37;36;124;29.839;JUNTOS POR EL PERÚ
000455;10402;01;1832.0;92;15;149;61.745;JUNTOS POR EL PERÚ
000102;10109;01;1831.0;56;14;103;54.369;JUNTOS POR EL PERÚ
013473;60703;06;1831.0;88;21;154;57.143;JUNTOS POR EL PERÚ
050670;140130;14;1831.0;3;13;221;1.357;RENOVACIÓN POPULAR
071937;190401;19;1831.0;13;19;189;6.878;FUERZA POPULAR
031866;120808;12;1830.0;5;13;182;2.747;FUERZA POPULAR
033972;130112;13;1830.0;24;6;199;12.06;FUERZA POPULAR
012642;60502;06;1829.0;55;2;75;73.333;JUNTOS POR EL PERÚ
075351;200501;20;1829.0;78;17;183;42.623;JUNTOS POR EL PERÚ
046829;140119;14;1828.0;6;28;236;2.542;PARTIDO DEL BUEN GOBIERNO
017932;71104;07;1827.0;76;15;129;58.915;JUNTOS POR EL PERÚ
085907;920601;92;1827.0;0;12;150;0.0;RENOVACIÓN POPULAR
020098;90110;09;1826.0;14;27;232;6.034;FUERZA POPULAR
033281;130101;13;1826.0;10;15;173;5.78;FUERZA POPULAR
012656;60502;06;1825.0;43;9;85;50.588;JUNTOS POR EL PERÚ
079050;210706;21;1825.0;45;17;93;48.387;JUNTOS POR EL PERÚ
005971;40103;04;1824.0;30;29;232;12.931;JUNTOS POR EL PERÚ
072293;190501;19;1824.0;18;12;181;9.945;FUERZA POPULAR
074081;190806;19;1824.0;13;16;188;6.915;FUERZA POPULAR
085894;920601;92;1824.0;1;0;156;0.641;RENOVACIÓN POPULAR
018073;71205;07;1822.0;81;28;155;52.258;JUNTOS POR EL PERÚ
055207;140136;14;1822.0;10;30;234;4.274;FUERZA POPULAR
055010;140136;14;1821.0;25;19;228;10.965;PARTIDO DEL BUEN GOBIERNO
079259;210806;21;1821.0;49;25;156;31.41;VOTOS EN BLANCO
003023;21301;02;1820.0;5;12;188;2.66;VOTOS EN BLANCO
035544;130305;13;1820.0;24;10;180;13.333;FUERZA POPULAR
087112;930703;93;1820.0;0;0;59;0.0;RENOVACIÓN POPULAR
031372;120609;12;1818.0;34;9;104;32.692;VOTOS EN BLANCO
006000;40103;04;1816.0;39;40;222;17.568;PARTIDO CÍVICO OBRAS
064533;140901;14;1816.0;11;13;187;5.882;FUERZA POPULAR
076958;201105;20;1816.0;105;31;198;53.03;JUNTOS POR EL PERÚ
009013;40407;04;1815.0;58;19;197;29.442;JUNTOS POR EL PERÚ
005044;30506;03;1813.0;61;37;154;39.61;JUNTOS POR EL PERÚ
028022;120101;12;1813.0;3;10;183;1.639;PARTIDO DEL BUEN GOBIERNO
049823;140126;14;1811.0;5;22;181;2.762;FUERZA POPULAR
062212;140301;14;1811.0;25;11;173;14.451;FUERZA POPULAR
003942;21701;02;1810.0;34;20;117;29.06;JUNTOS POR EL PERÚ
066289;150201;15;1810.0;27;16;174;15.517;VOTOS EN BLANCO
009070;40501;04;1809.0;39;17;174;22.414;JUNTOS POR EL PERÚ
020412;90301;09;1809.0;29;10;90;32.222;JUNTOS POR EL PERÚ
030313;120113;12;1809.0;9;23;204;4.412;FUERZA POPULAR
077536;210201;21;1808.0;19;14;106;17.925;FUERZA POPULAR
071697;190303;19;1806.0;59;7;105;56.19;JUNTOS POR EL PERÚ
067241;150701;15;1804.0;43;7;126;34.127;VOTOS EN BLANCO
086120;921006;92;1804.0;7;19;146;4.795;VOTOS EN BLANCO
086324;921313;92;1804.0;1;9;109;0.917;RENOVACIÓN POPULAR
066895;150409;15;1803.0;4;2;90;4.444;FUERZA POPULAR
067314;150704;15;1803.0;51;6;120;42.5;JUNTOS POR EL PERÚ
077591;210205;21;1803.0;36;14;106;33.962;VOTOS EN BLANCO
007376;40120;04;1802.0;18;25;205;8.78;PARTIDO DEL BUEN GOBIERNO
063206;140507;14;1802.0;13;18;128;10.156;FUERZA POPULAR
064457;140805;14;1802.0;14;27;177;7.91;FUERZA POPULAR
002969;21301;02;1801.0;9;23;195;4.615;FUERZA POPULAR
075704;200701;20;1801.0;34;43;201;16.915;PARTIDO CÍVICO OBRAS
023395;100303;10;1800.0;33;23;187;17.647;FUERZA POPULAR
016904;70703;07;1799.0;109;17;185;58.919;JUNTOS POR EL PERÚ
030616;120304;12;1799.0;36;6;66;54.545;JUNTOS POR EL PERÚ
086764;921331;92;1799.0;2;7;106;1.887;RENOVACIÓN POPULAR
060480;140141;14;1797.0;8;29;213;3.756;FUERZA POPULAR
068176;170211;17;1797.0;40;26;136;29.412;JUNTOS POR EL PERÚ
010919;50704;05;1796.0;35;14;99;35.354;JUNTOS POR EL PERÚ
027670;120101;12;1796.0;4;8;193;2.073;PARTIDO DEL BUEN GOBIERNO
071217;190115;19;1795.0;7;15;219;3.196;FUERZA POPULAR
079345;210907;21;1795.0;21;19;146;14.384;FUERZA POPULAR
011090;51101;05;1793.0;48;25;124;38.71;JUNTOS POR EL PERÚ
067176;150603;15;1793.0;0;0;47;0.0;VOTOS EN BLANCO
031841;120808;12;1792.0;5;7;146;3.425;FUERZA POPULAR
068603;180108;18;1792.0;69;17;169;40.828;JUNTOS POR EL PERÚ
086097;921006;92;1792.0;6;26;165;3.636;VOTOS EN BLANCO
019027;80410;08;1791.0;35;24;121;28.926;JUNTOS POR EL PERÚ
032285;121104;12;1791.0;24;7;109;22.018;VOTOS EN BLANCO
074202;200101;20;1791.0;25;21;237;10.549;PARTIDO POLÍTICO COOPERACIÓN POPULAR
086249;921007;92;1790.0;4;7;75;5.333;VOTOS EN BLANCO
011198;60101;06;1789.0;27;24;212;12.736;FUERZA POPULAR
065529;150110;15;1789.0;8;3;129;6.202;FUERZA POPULAR
000308;10206;01;1788.0;67;4;109;61.468;JUNTOS POR EL PERÚ
062788;140411;14;1788.0;14;19;191;7.33;FUERZA POPULAR
086067;921006;92;1786.0;3;20;143;2.098;VOTOS EN BLANCO
086340;921313;92;1786.0;1;6;129;0.775;RENOVACIÓN POPULAR
017454;70906;07;1785.0;43;23;158;27.215;JUNTOS POR EL PERÚ
026711;110706;11;1785.0;32;24;128;25.0;JUNTOS POR EL PERÚ
072106;190403;19;1785.0;50;12;138;36.232;JUNTOS POR EL PERÚ
002985;21301;02;1784.0;10;17;187;5.348;FUERZA POPULAR
014188;61006;06;1784.0;59;8;125;47.2;JUNTOS POR EL PERÚ
079164;210802;21;1784.0;41;22;135;30.37;VOTOS EN BLANCO
017971;71105;07;1783.0;81;22;162;50.0;JUNTOS POR EL PERÚ
055550;140136;14;1781.0;12;29;227;5.286;FUERZA POPULAR
074204;200101;20;1781.0;18;25;229;7.86;PARTIDO POLÍTICO COOPERACIÓN POPULAR
027229;110806;11;1780.0;44;29;162;27.16;JUNTOS POR EL PERÚ
004457;30213;03;1779.0;55;14;128;42.969;JUNTOS POR EL PERÚ
017763;70919;07;1779.0;78;28;142;54.93;JUNTOS POR EL PERÚ
069135;180308;18;1779.0;44;12;119;36.975;VOTOS EN BLANCO
079095;210801;21;1777.0;16;23;145;11.034;VOTOS EN BLANCO
020207;90111;09;1776.0;33;40;225;14.667;PARTIDO CÍVICO OBRAS
024620;110112;11;1776.0;28;27;156;17.949;VOTOS EN BLANCO
009150;40512;04;1775.0;19;21;187;10.16;VOTOS EN BLANCO
017370;70902;07;1774.0;42;19;123;34.146;JUNTOS POR EL PERÚ
076960;201105;20;1774.0;89;25;179;49.721;JUNTOS POR EL PERÚ
078994;210703;21;1774.0;55;21;135;40.741;VOTOS EN BLANCO
017750;70918;07;1773.0;56;40;151;37.086;JUNTOS POR EL PERÚ
020021;90110;09;1773.0;30;36;192;15.625;PARTIDO CÍVICO OBRAS
042383;140108;14;1773.0;2;12;233;0.858;RENOVACIÓN POPULAR
